Date,Platform,Post ID,Content,Likes,Comments,Shares,Impressions,Hashtags,Followers
2025-04-15,Twitter,TW9151,Post about weekly update,188,37,5,3212,#promo #insight,1386
2025-04-15,Facebook,FA2153,Post about product launch,199,43,17,1556,#product #insight #update,1290
2025-04-15,Facebook,FA4320,Post about engagement tips,50,44,23,2049,#marketing,1290
2025-04-15,Facebook,FA3035,Post about weekly update,92,10,14,4456,#promo #marketing #tip,1290
2025-04-16,Instagram,IN7994,Post about new features,71,14,21,2086,#marketing,1377
2025-04-16,Twitter,TW7530,Post about product launch,144,41,9,3165,#product #social,1396
2025-04-16,Twitter,TW2224,Post about engagement tips,139,12,12,4832,#product,1396
2025-04-16,Facebook,FA2915,Post about product launch,175,15,23,2874,#update #promo,1303
2025-04-16,Facebook,FA5964,Post about weekly update,53,34,11,1056,#product #social #update,1303
2025-04-16,Facebook,FA4263,Post about product launch,104,24,26,2244,#promo #update,1303
2025-04-17,Instagram,IN3129,Post about weekly update,176,33,18,4334,#tip #marketing #promo,1387
2025-04-17,Twitter,TW5728,Post about new features,150,49,19,4988,#launch,1412
2025-04-17,Twitter,TW8787,Post about new features,81,21,28,1511,#product #insight #launch,1412
2025-04-17,Twitter,TW6197,Post about engagement tips,139,41,13,4814,#launch #social #insight,1412
2025-04-17,Facebook,FA9290,Post about engagement tips,121,43,8,2798,#social #promo #update,1313
2025-04-17,Facebook,FA3854,Post about engagement tips,200,39,24,3431,#tip #promo,1313
2025-04-18,Instagram,IN5266,Post about weekly update,159,47,10,2179,#promo #social #launch,1407
2025-04-18,Instagram,IN6850,Post about new features,140,25,25,3118,#product #tip,1407
2025-04-18,Twitter,TW1150,Post about engagement tips,163,25,30,3180,#social #tip,1430
2025-04-18,Twitter,TW2165,Post about new features,104,42,15,2478,#marketing #launch #update,1430
2025-04-18,Facebook,FA2937,Post about weekly update,164,46,15,2090,#product #social #launch,1330
2025-04-18,Facebook,FA8653,Post about new features,85,13,26,4977,#tip #product #launch,1330
2025-04-19,Instagram,IN1330,Post about engagement tips,133,23,19,2324,#insight #tip #product,1414
2025-04-19,Twitter,TW6498,Post about engagement tips,121,48,14,3223,#insight #promo #product,1441
2025-04-19,Facebook,FA3038,Post about engagement tips,111,10,6,1246,#insight #update,1344
2025-04-20,Instagram,IN1769,Post about product launch,138,34,9,3233,#product,1422
2025-04-20,Instagram,IN4909,Post about weekly update,162,28,16,4525,#update,1422
2025-04-20,Twitter,TW9887,Post about product launch,151,30,13,4898,#tip,1454
2025-04-20,Twitter,TW1872,Post about weekly update,112,44,15,1771,#tip #insight,1454
2025-04-20,Facebook,FA7534,Post about engagement tips,53,20,6,2446,#promo,1349
2025-04-20,Facebook,FA5447,Post about engagement tips,154,17,5,4134,#insight #update,1349
2025-04-20,Facebook,FA8374,Post about product launch,78,33,23,1369,#social #insight #marketing,1349
2025-04-21,Instagram,IN9597,Post about product launch,80,13,21,4545,#social #insight #launch,1441
2025-04-21,Twitter,TW9149,Post about weekly update,130,23,19,4304,#product #launch #promo,1460
2025-04-21,Facebook,FA6440,Post about new features,78,26,13,2239,#social #tip,1355
2025-04-21,Facebook,FA4937,Post about engagement tips,187,10,12,4443,#update #launch,1355
2025-04-21,Facebook,FA8982,Post about engagement tips,88,35,17,1768,#product #social,1355
2025-04-22,Instagram,IN7749,Post about engagement tips,67,45,16,1909,#insight,1455
2025-04-22,Instagram,IN5035,Post about new features,125,17,8,2363,#insight #marketing,1455
2025-04-22,Instagram,IN5064,Post about engagement tips,184,43,7,2195,#update #marketing #product,1455
2025-04-22,Twitter,TW2660,Post about engagement tips,151,39,15,2275,#marketing,1471
2025-04-22,Twitter,TW2652,Post about engagement tips,105,38,16,1382,#promo #tip,1471
2025-04-22,Facebook,FA7587,Post about weekly update,109,12,23,2248,#tip,1364
2025-04-22,Facebook,FA5841,Post about engagement tips,144,29,15,4927,#marketing #update,1364
2025-04-22,Facebook,FA6008,Post about weekly update,197,42,12,2807,#launch,1364
2025-04-23,Instagram,IN8737,Post about weekly update,118,37,9,2437,#launch,1472
2025-04-23,Instagram,IN1848,Post about product launch,111,15,14,2299,#tip #update #launch,1472
2025-04-23,Instagram,IN2313,Post about engagement tips,111,21,30,1599,#insight #social,1472
2025-04-23,Twitter,TW5060,Post about product launch,128,22,7,1171,#tip #insight,1482
2025-04-23,Twitter,TW6548,Post about weekly update,99,20,13,1390,#insight #social #tip,1482
2025-04-23,Facebook,FA6206,Post about product launch,188,42,21,4205,#marketing #social #promo,1384
2025-04-23,Facebook,FA7167,Post about new features,50,30,23,2101,#launch #social #promo,1384
2025-04-23,Facebook,FA5241,Post about weekly update,187,15,5,4458,#social #tip,1384
2025-04-24,Instagram,IN9170,Post about product launch,167,21,24,4342,#launch #promo #update,1489
2025-04-24,Instagram,IN3579,Post about weekly update,57,19,16,2449,#tip #insight,1489
2025-04-24,Instagram,IN2657,Post about engagement tips,147,33,16,2528,#marketing #tip #update,1489
2025-04-24,Twitter,TW7497,Post about product launch,75,38,13,2308,#promo,1498
2025-04-24,Twitter,TW6770,Post about product launch,73,22,30,1494,#promo #product,1498
2025-04-24,Facebook,FA7072,Post about engagement tips,167,14,20,2403,#launch #product #promo,1396
2025-04-25,Instagram,IN2432,Post about weekly update,165,35,17,1753,#promo #insight,1507
2025-04-25,Instagram,IN9151,Post about engagement tips,78,40,21,1432,#update #insight #marketing,1507
2025-04-25,Instagram,IN1191,Post about product launch,79,42,9,4532,#promo #tip #launch,1507
2025-04-25,Twitter,TW8504,Post about product launch,63,20,6,2100,#update,1517
2025-04-25,Facebook,FA8710,Post about engagement tips,111,20,15,2048,#promo,1401
2025-04-25,Facebook,FA6045,Post about engagement tips,147,37,20,4143,#update #promo,1401
2025-04-25,Facebook,FA8308,Post about engagement tips,172,15,7,1782,#insight #tip #update,1401
2025-04-26,Instagram,IN3421,Post about weekly update,158,34,15,1514,#update #social,1527
2025-04-26,Twitter,TW3169,Post about engagement tips,182,26,20,2993,#tip #launch #update,1524
2025-04-26,Facebook,FA8278,Post about product launch,133,36,13,4795,#marketing #tip,1421
2025-04-26,Facebook,FA4283,Post about weekly update,92,12,8,3138,#update #promo #product,1421
2025-04-26,Facebook,FA1389,Post about new features,52,42,15,2509,#launch #social #marketing,1421
2025-04-27,Instagram,IN1825,Post about product launch,163,11,22,3660,#tip #social,1534
2025-04-27,Instagram,IN2185,Post about weekly update,115,14,6,2462,#promo #social #marketing,1534
2025-04-27,Twitter,TW9048,Post about product launch,147,19,7,4242,#tip #social,1538
2025-04-27,Twitter,TW3655,Post about new features,63,15,5,1551,#social #launch,1538
2025-04-27,Facebook,FA2268,Post about product launch,139,43,11,4669,#product,1428
2025-04-28,Instagram,IN9657,Post about engagement tips,116,10,14,1384,#insight,1546
2025-04-28,Instagram,IN2599,Post about product launch,102,37,29,2747,#tip #insight #marketing,1546
2025-04-28,Instagram,IN1883,Post about engagement tips,69,31,7,3497,#promo #product #social,1546
2025-04-28,Twitter,TW5073,Post about engagement tips,93,25,16,4988,#insight #tip #social,1551
2025-04-28,Twitter,TW3777,Post about weekly update,169,31,16,4432,#social #marketing,1551
2025-04-28,Facebook,FA8341,Post about new features,188,39,20,3139,#tip #social,1448
2025-04-29,Instagram,IN2008,Post about engagement tips,189,33,27,1044,#launch #product,1562
2025-04-29,Instagram,IN9093,Post about engagement tips,153,41,25,1386,#product #social #promo,1562
2025-04-29,Twitter,TW3672,Post about weekly update,70,14,19,1262,#launch #promo #marketing,1556
2025-04-29,Twitter,TW4780,Post about weekly update,76,32,11,3228,#update #tip,1556
2025-04-29,Facebook,FA4026,Post about weekly update,107,41,22,1903,#promo #product #update,1467
2025-04-29,Facebook,FA3891,Post about engagement tips,85,12,10,1580,#social #promo #update,1467
2025-04-30,Instagram,IN3384,Post about product launch,67,27,29,4663,#launch #marketing,1579
2025-04-30,Twitter,TW6024,Post about weekly update,132,13,29,1371,#marketing #launch,1570
2025-04-30,Facebook,FA5110,Post about product launch,131,27,7,4734,#social,1476
2025-04-30,Facebook,FA2707,Post about engagement tips,115,31,14,1877,#product,1476
2025-04-30,Facebook,FA7313,Post about product launch,66,38,20,2040,#launch #promo #product,1476
